release_date,price,average_playtime,release_month,release_year,multi_player,single_player,sports,total_ratings
2007-03-15,7.19,62,3,2007,0,1,0,1636
2007-03-29,4.99,324,3,2007,1,1,0,6589
2007-03-29,4.99,24,3,2007,0,1,0,1082
2007-03-29,6.99,254,3,2007,0,1,0,1345
2007-03-29,4.99,714,3,2007,0,1,0,1899
2007-03-29,3.99,0,3,2007,1,1,0,236
2007-03-29,6.99,0,3,2007,1,1,0,263
2007-02-27,8.99,0,2,2007,0,1,0,1088
2008-04-16,25.99,4774,4,2008,1,1,0,1018
2007-03-14,6.99,14,3,2007,0,1,0,326
2007-03-14,6.99,0,3,2007,0,1,0,151
2007-10-05,6.99,0,10,2007,1,1,0,123
2010-04-21,6.99,0,4,2010,0,1,0,12
2009-04-30,6.99,313,4,2009,0,1,0,2547
2011-02-03,14.99,327,2,2011,1,1,0,5105
2011-06-14,6.99,320,6,2011,0,1,0,347
2007-05-04,5.99,165,5,2007,1,1,0,1684
2007-05-04,5.99,46,5,2007,1,1,0,508
2007-05-04,2.99,1244,5,2007,0,1,0,502
2007-05-04,2.99,66,5,2007,0,1,0,417
2008-09-04,2.99,18,9,2008,0,1,0,470
2008-09-04,2.99,0,9,2008,1,1,0,111
2008-09-04,2.99,2235,9,2008,0,1,0,2301
2008-09-04,2.99,0,9,2008,1,1,0,284
2009-05-06,3.99,0,5,2009,1,1,0,1921
2009-05-06,1.99,0,5,2009,0,1,0,84
2009-05-20,3.99,113,5,2009,1,1,0,809
2007-11-12,19.99,1417,11,2007,1,1,0,9546
2007-06-05,6.99,239,6,2007,0,1,0,2353
2007-12-13,4.99,209,12,2007,1,1,0,1947
2008-02-08,3.99,0,2,2008,0,1,0,192
2008-11-21,6.99,313,11,2008,0,1,0,2373
2009-05-13,6.99,132,5,2009,1,1,0,1570
2010-03-23,9.99,519,3,2010,0,1,0,36867
2008-06-17,0.0,0,6,2008,0,1,0,149
2008-06-17,0.0,0,6,2008,0,1,0,77
2008-06-17,1.99,0,6,2008,0,1,0,146
2008-12-18,22.99,0,12,2008,0,1,0,243
2007-06-18,2.99,109,6,2007,0,1,0,645
2010-12-15,0.0,5123,12,2010,1,0,0,11149
2007-10-15,2.49,1636,10,2007,1,1,0,2032
2012-12-12,4.99,0,12,2012,1,1,1,190
2007-07-24,5.99,108,7,2007,0,1,0,1462
2013-03-25,19.99,614,3,2013,0,1,0,83288
2009-05-29,2.99,16,5,2009,1,1,0,347
2009-05-29,2.99,23,5,2009,1,1,0,149
2010-09-23,19.99,4760,9,2010,1,1,0,134595
2010-10-06,3.49,0,10,2010,0,1,0,49
2007-08-03,2.49,0,8,2007,0,1,0,236
2007-08-03,3.99,32,8,2007,1,1,0,3360
2007-08-03,2.49,88,8,2007,1,1,0,158
2007-08-03,2.49,129,8,2007,1,1,0,218
2007-08-03,0.0,362,8,2007,1,1,0,3009
2007-08-03,2.99,10,8,2007,1,1,0,212
2007-08-03,0.0,7,8,2007,0,1,0,379
2007-08-03,2.99,145,8,2007,0,1,0,788
2011-10-03,7.99,559,10,2011,1,1,0,12276
2007-08-07,9.99,213,8,2007,1,1,0,682
2007-09-24,9.99,79,9,2007,1,1,0,631
2011-09-28,8.99,306,9,2011,1,1,0,1227
2011-09-28,8.99,803,9,2011,1,1,0,5143
2008-03-07,9.99,1433,3,2008,1,1,0,5173
2008-02-29,9.99,154,2,2008,0,1,0,607
2009-01-07,9.99,322,1,2009,0,1,0,12323
2007-07-20,5.99,23,7,2007,1,1,0,254
2008-03-12,6.99,0,3,2008,0,1,0,96
2008-03-12,1.99,0,3,2008,1,1,0,195
2008-03-12,3.99,64,3,2008,0,1,0,573
2009-05-06,13.99,0,5,2009,1,1,0,138
2011-06-14,0.0,12952,6,2011,1,0,0,2904
2012-01-31,0.0,2514,1,2012,1,0,0,10030
2014-05-22,1.99,222,5,2014,0,1,0,895
2010-09-28,4.79,0,9,2010,0,1,0,22
2011-05-11,6.99,0,5,2011,0,1,0,29
2010-11-10,4.99,23,11,2010,0,1,0,72
2008-11-18,19.99,2331,11,2008,1,1,0,21078
2009-07-23,14.99,10,7,2009,0,1,0,157
2009-07-23,9.99,10,7,2009,0,1,0,185
2009-07-23,6.99,0,7,2009,0,1,0,30
2009-07-23,9.99,0,7,2009,1,1,0,782
2009-07-23,6.99,0,7,2009,0,1,1,78
2009-06-12,14.99,645,6,2009,0,1,0,4606
2009-11-11,19.99,999,11,2009,1,1,0,32832
2012-02-17,8.99,411,2,2012,0,1,0,1742
2011-10-28,5.59,0,10,2011,0,1,0,88
2011-10-28,4.99,0,10,2011,0,1,0,25
2011-10-28,4.99,0,10,2011,1,1,0,24
2011-10-28,4.99,0,10,2011,1,1,0,15
2014-02-14,9.99,889,2,2014,1,1,0,870
2008-02-20,9.99,0,2,2008,1,1,0,97
2009-03-04,19.99,3176,3,2009,1,1,0,16647
2010-02-16,9.99,170,2,2010,1,1,0,10634
2008-04-16,0.0,902,4,2008,1,1,0,9496
2008-08-07,6.99,0,8,2008,0,1,0,157
2008-08-07,6.99,0,8,2008,0,1,0,139
2009-08-06,0.0,0,8,2009,0,1,0,189
2009-08-06,6.99,0,8,2009,0,1,0,227
2009-08-06,6.99,0,8,2009,0,1,0,152
2009-12-23,6.99,0,12,2009,0,1,0,394
2007-11-14,6.99,355,11,2007,0,1,0,567
2008-05-19,1.79,46,5,2008,1,1,0,493
